date,lead_month,nino34_pred,nino34_true
1981-01,1,0.109910265,-0.00042637414
1981-02,1,-0.005818116,-0.3917725
1981-03,1,-0.19505449,-0.42326793
1981-04,1,-0.5754225,-0.53357494
1981-05,1,-0.5967173,-0.49139753
1981-06,1,-0.7420323,-0.35701793
1981-07,1,-0.5434478,-0.7135362
1981-08,1,-0.6736699,-0.61451584
1981-09,1,-0.490041,-0.18999338
1981-10,1,-0.38920173,-0.08063007
1981-11,1,-0.2802094,-0.3368223
1981-12,1,-0.36803833,-0.45852807
1982-01,1,0.023544138,-0.17327565
1982-02,1,0.13873607,-0.15476483
1982-03,1,0.17193793,-0.28201815
1982-04,1,0.03809337,-0.04459077
1982-05,1,0.14361677,0.24024753
1982-06,1,0.2992604,0.5561064
1982-07,1,0.4615984,0.7505231
1982-08,1,0.9262698,1.1114337
1982-09,1,1.3134545,1.3501524
1982-10,1,1.3205715,1.8502227
1982-11,1,1.5964389,1.995122
1982-12,1,1.8388034,2.20444
1983-01,1,1.6185424,2.1862085
1983-02,1,1.340651,1.692382
1983-03,1,0.89854234,1.2534121
1983-04,1,0.42812985,1.2862107
1983-05,1,0.16063572,1.13389
1983-06,1,0.22462377,0.5883717
1983-07,1,0.1494424,-0.50766957
1983-08,1,-0.49127716,-0.3339269
1983-09,1,-0.61987406,-0.5024317
1983-10,1,-0.7602887,-0.87823313
1983-11,1,-0.603746,-0.88178056
1983-12,1,-0.4623287,-1.1554062
1984-01,1,-0.69130194,-1.0308758
1984-02,1,-0.58837473,-0.61426705
1984-03,1,-0.41951478,-0.60810256
1984-04,1,-0.43350953,-0.6248701
1984-05,1,-0.7222552,-0.7015953
1984-06,1,-0.8153978,-1.1367972
1984-07,1,-0.8263228,-0.7372547
1984-08,1,-0.88240683,-0.58925474
1984-09,1,-0.6152459,-0.54718137
1984-10,1,-0.5630709,-0.8979495
1984-11,1,-0.6043186,-1.2130367
1984-12,1,-0.59097224,-1.1400332
1985-01,1,-0.5337421,-1.0661303
1985-02,1,-0.62214535,-1.3416966
1985-03,1,-0.8702689,-1.2367989
1985-04,1,-0.7707887,-1.0220283
1985-05,1,-0.6385709,-0.78969556
1985-06,1,-0.6632158,-0.6494106
1985-07,1,-0.22301982,-0.7084457
1985-08,1,-0.37852353,-0.38509634
1985-09,1,-0.4715559,-0.34076357
1985-10,1,-0.53272927,-0.4675236
1985-11,1,-0.13507761,-0.24995315
1985-12,1,-0.09270447,-0.18377769
1986-01,1,0.021600595,-0.38154462
1986-02,1,-0.07628217,-0.59403086
1986-03,1,-0.02248245,-0.747484
1986-04,1,-0.0028817803,-0.80665785
1986-05,1,-0.21855876,-0.43311933
1986-06,1,0.011245404,-0.23104097
1986-07,1,0.04590364,-0.05799706
1986-08,1,0.12057447,0.20899104
1986-09,1,0.24966751,0.49697357
1986-10,1,0.64585316,0.7040022
1986-11,1,0.6754413,0.8770689
1986-12,1,0.96905655,1.1841037
1987-01,1,1.3242496,1.3761859
1987-02,1,1.2183257,1.1995224
1987-03,1,0.9230001,1.1573845
1987-04,1,0.7507108,0.9323075
1987-05,1,0.56962466,1.0341035
1987-06,1,0.47589964,1.2854264
1987-07,1,0.8715639,1.341871
1987-08,1,1.2295995,1.4317333
1987-09,1,0.87516916,1.4311937
1987-10,1,1.1915702,1.3177104
1987-11,1,1.0545405,1.2714775
1987-12,1,0.95124745,0.9478049
1988-01,1,0.71399134,0.5536789
1988-02,1,0.24749167,0.16587622
1988-03,1,-0.12145625,-0.124936506
1988-04,1,-0.3647608,-0.6777575
1988-05,1,-0.8218786,-1.2987353
1988-06,1,-1.0712454,-1.5988959
1988-07,1,-1.4203802,-1.5172472
1988-08,1,-1.6390624,-1.2127922
1988-09,1,-1.7872562,-1.202088
1988-10,1,-1.7486829,-2.1091688
1988-11,1,-1.7666414,-2.463643
1988-12,1,-1.8890247,-2.1580613
1989-01,1,-1.7849853,-1.9696684
1989-02,1,-1.5796875,-1.5008314
1989-03,1,-1.0287098,-1.3050876
1989-04,1,-0.7765916,-1.2292643
1989-05,1,-0.686594,-0.88849324
1989-06,1,-0.4889057,-0.57783914
1989-07,1,-0.15816993,-0.35367855
1989-08,1,-0.13031386,-0.32813546
1989-09,1,-0.37068394,-0.32922074
1989-10,1,-0.43989483,-0.37430194
1989-11,1,-0.55051786,-0.47015205
1989-12,1,-0.11906945,-0.18399468
1990-01,1,0.082005724,-0.029205412
1990-02,1,0.057436068,0.08151527
1990-03,1,0.10712782,-0.015873147
1990-04,1,0.033273283,-0.0519348
1990-05,1,0.095438495,0.087055884
1990-06,1,0.18326592,-0.02670971
1990-07,1,0.1705012,-0.012321486
1990-08,1,0.08613925,0.20224023
1990-09,1,0.1670372,0.12970482
1990-10,1,0.32016832,0.30792326
1990-11,1,0.21024244,0.22936295
1990-12,1,0.15435112,0.3622262
1991-01,1,0.24918562,0.5788064
1991-02,1,0.479416,0.29246262
1991-03,1,0.2275575,0.028525203
1991-04,1,0.21636981,0.28697547
1991-05,1,0.33444452,0.30368918
1991-06,1,0.30287713,0.5548438
1991-07,1,0.66436577,0.73140347
1991-08,1,0.6648952,0.68657184
1991-09,1,0.62365127,0.5718397
1991-10,1,0.6697373,0.89600015
1991-11,1,0.78685373,1.2210044
1991-12,1,0.79352176,1.7840004
1992-01,1,1.0802618,1.8602579
1992-02,1,1.0676154,1.8835275
1992-03,1,0.93399036,1.4491429
1992-04,1,0.46687102,1.274605
1992-05,1,0.68500334,1.001368
1992-06,1,0.69401973,0.42808574
1992-07,1,0.40339231,0.1734245
1992-08,1,0.103888,-0.16339391
1992-09,1,-0.18413338,-0.15938084
1992-10,1,-0.120974064,-0.3308635
1992-11,1,-0.2653371,-0.23953094
1992-12,1,0.0022764464,0.01681003
1993-01,1,0.049196653,0.0778894
1993-02,1,0.1970238,0.2418035
1993-03,1,0.4170566,0.29156154
1993-04,1,0.440616,0.64772284
1993-05,1,0.5552207,0.79835665
1993-06,1,0.6665196,0.6502074
1993-07,1,0.38463393,0.41543475
1993-08,1,0.35912573,0.23206411
1993-09,1,0.3569124,0.4369782
1993-10,1,0.47650313,0.55715126
1993-11,1,0.62415373,0.47756425
1993-12,1,0.5651341,0.3351657
1994-01,1,0.46405807,0.08535045
1994-02,1,0.29612604,0.012765023
1994-03,1,0.15938634,0.10553886
1994-04,1,0.20174412,0.1680304
1994-05,1,0.1436804,0.16390485
1994-06,1,0.19298404,0.22714402
1994-07,1,0.2263746,0.050911993
1994-08,1,0.21149074,0.42031822
1994-09,1,0.2567682,0.44870377
1994-10,1,0.46093068,0.8563631
1994-11,1,0.81636345,1.2689687
1994-12,1,0.94766474,1.2309557
1995-01,1,1.0334958,0.9469509
1995-02,1,0.8698241,0.786568
1995-03,1,0.8077799,0.36670938
1995-04,1,0.37334746,0.19068332
1995-05,1,0.21364994,-0.2022085
1995-06,1,-0.09159245,-0.20947815
1995-07,1,0.00090828305,-0.2186245
1995-08,1,-0.20238413,-0.4990602
1995-09,1,-0.716359,-0.9164165
1995-10,1,-0.9830904,-1.1405834
1995-11,1,-1.1842009,-1.0922315
1995-12,1,-1.4829006,-1.1899694
1996-01,1,-1.3484324,-0.8609505
1996-02,1,-0.75443673,-0.81604254
1996-03,1,-0.4602997,-0.61740154
1996-04,1,-0.2313426,-0.44130802
1996-05,1,-0.4429482,-0.5179331
1996-06,1,-0.5567139,-0.56343275
1996-07,1,-0.49807733,-0.2520531
1996-08,1,-0.3711559,-0.3659896
1996-09,1,-0.45665452,-0.4168981
1996-10,1,-0.49833187,-0.4288355
1996-11,1,-0.05848884,-0.60995144
1996-12,1,-0.24953778,-0.7515759
1997-01,1,-0.37248656,-0.5901172
1997-02,1,-0.25948727,-0.41750735
1997-03,1,-0.16651407,-0.20417763
1997-04,1,0.026740963,0.2848152
1997-05,1,0.22597402,0.66986686
1997-06,1,0.694456,1.1475612
1997-07,1,1.2038523,1.6711944
1997-08,1,1.6349114,2.0195842
1997-09,1,1.962254,2.298945
1997-10,1,1.9449214,2.6404357
1997-11,1,2.00685,2.687556
1997-12,1,1.9232603,2.7479243
1998-01,1,1.7315302,2.715116
1998-02,1,1.5461143,2.2348132
1998-03,1,1.0751492,1.5979168
1998-04,1,0.6699289,0.8744729
1998-05,1,0.11025184,0.593584
1998-06,1,-0.3701856,-0.8073107
1998-07,1,-0.9549437,-1.3298286
1998-08,1,-1.1710738,-1.4126738
1998-09,1,-1.069715,-1.0333148
1998-10,1,-1.1056907,-1.2995145
1998-11,1,-1.3002418,-1.5867516
1998-12,1,-1.3959137,-1.9303639
1999-01,1,-1.5850703,-1.6638982
1999-02,1,-1.3818432,-1.3088537
1999-03,1,-1.183737,-0.9054911
1999-04,1,-1.1159339,-0.96003747
1999-05,1,-1.1571504,-0.8669181
1999-06,1,-0.8440661,-1.0293975
1999-07,1,-0.8704922,-0.9021559
1999-08,1,-0.88988554,-1.1913494
1999-09,1,-1.0532929,-1.1567566
1999-10,1,-1.0687385,-1.0723855
1999-11,1,-1.4017568,-1.6639153
1999-12,1,-1.5651398,-1.7101572
2000-01,1,-1.6604877,-1.8176467
2000-02,1,-1.5169772,-1.6098965
2000-03,1,-1.088316,-1.0692651
2000-04,1,-0.672943,-0.7033115
2000-05,1,-0.6870431,-0.6499248
2000-06,1,-0.70527184,-0.6666217
2000-07,1,-0.8512283,-0.4673668
2000-08,1,-0.49769062,-0.3949841
2000-09,1,-0.41765895,-0.44343302
2000-10,1,-0.6670007,-0.5594826
2000-11,1,-0.61668396,-0.9251185
2000-12,1,-0.8136511,-0.8609912
2001-01,1,-0.55794877,-0.66662407
2001-02,1,-0.45532292,-0.5726149
2001-03,1,-0.40776196,-0.3982683
2001-04,1,-0.045962553,-0.2110452
2001-05,1,-0.11562581,-0.24091038
2001-06,1,-0.26458117,-0.011285845
2001-07,1,0.058176957,0.10589368
2001-08,1,0.13115922,0.055456307
2001-09,1,0.15192366,-0.04714936
2001-10,1,-0.043951396,-0.015698466
2001-11,1,-0.10405931,-0.11168404
2001-12,1,-0.117319174,-0.26719305
2002-01,1,-0.11173964,0.051394578
2002-02,1,0.016467283,0.26719505
2002-03,1,0.061620098,0.14289422
2002-04,1,0.08533403,0.18940826
2002-05,1,0.15093905,0.27105874
2002-06,1,0.29435238,0.6551612
2002-07,1,0.40826264,0.707224
2002-08,1,0.49365795,0.96317226
2002-09,1,0.5506865,1.1147876
2002-10,1,0.55035317,1.355659
2002-11,1,0.73444253,1.585036
2002-12,1,0.8218501,1.5178975
2003-01,1,0.9579627,1.3195041
2003-02,1,0.6376888,0.89080614
2003-03,1,0.44541448,0.6439664
2003-04,1,0.329044,0.032643393
2003-05,1,-0.33328226,-0.44659165
2003-06,1,-0.71924824,-0.22788963
2003-07,1,-0.3800236,0.15091886
2003-08,1,-0.1910652,0.071487375
2003-09,1,-0.25315118,0.1787683
2003-10,1,-0.02490205,0.46218506
2003-11,1,0.15355577,0.43719688
2003-12,1,0.38570154,0.41439086
2004-01,1,0.3319292,0.30618894
2004-02,1,0.23816118,0.10939963
2004-03,1,0.11309188,0.05371552
2004-04,1,0.13783993,0.07085941
2004-05,1,0.053420845,0.21017146
2004-06,1,0.058542304,0.09514714
2004-07,1,0.053367596,0.38242924
2004-08,1,0.08442927,0.69534624
2004-09,1,0.13421434,0.67622447
2004-10,1,0.25648952,0.72964793
2004-11,1,0.42716837,0.7178978
2004-12,1,0.5213002,0.8368481
2005-01,1,0.6231678,0.597636
2005-02,1,0.48307908,0.44722137
2005-03,1,0.23034084,0.4306716
2005-04,1,0.2978099,0.28987256
2005-05,1,0.21812427,0.34200478
2005-06,1,0.3377166,0.29111254
2005-07,1,0.30457085,0.18380143
2005-08,1,0.063180126,0.026247397
2005-09,1,0.08052511,-0.06889765
2005-10,1,-0.13756502,0.06315029
2005-11,1,-0.4463359,-0.38048694
2005-12,1,-0.670696,-0.66858685
2006-01,1,-0.5894533,-0.8661443
2006-02,1,-0.85209453,-0.6833061
2006-03,1,-0.49653497,-0.47039533
2006-04,1,-0.38130218,-0.10674768
2006-05,1,-0.09183084,0.030338623
2006-06,1,0.14940366,0.17213543
2006-07,1,0.055489164,0.17319962
2006-08,1,0.099763475,0.45576185
2006-09,1,0.5328028,0.705766
2006-10,1,0.58696777,0.78577065
2006-11,1,0.9189938,1.0586779
2006-12,1,0.82187384,1.152183
2007-01,1,0.90372944,0.707932
2007-02,1,0.5251957,0.21972445
2007-03,1,0.20256305,-0.06047849
2007-04,1,0.049838882,-0.12210938
2007-05,1,-0.12021972,-0.29026926
2007-06,1,-0.52008617,-0.16524267
2007-07,1,-0.29552108,-0.410569
2007-08,1,-0.47331226,-0.6937064
2007-09,1,-0.93033874,-1.1256648
2007-10,1,-1.2648115,-1.6185975
2007-11,1,-1.5747758,-1.7017689
2007-12,1,-1.8740393,-1.6559267
2008-01,1,-1.8019376,-1.910063
2008-02,1,-1.6922697,-1.8319354
2008-03,1,-1.1353214,-1.185759
2008-04,1,-0.7530771,-1.0815488
2008-05,1,-0.702386,-0.8243269
2008-06,1,-0.3333354,-0.56068003
