date,lead_month,nino34_pred,nino34_true
1981-04,4,0.13731235,-0.53357494
1981-05,4,0.01330153,-0.49139753
1981-06,4,-0.21489683,-0.35701793
1981-07,4,-0.77047557,-0.7135362
1981-08,4,-0.703383,-0.61451584
1981-09,4,-0.8302293,-0.18999338
1981-10,4,-0.580592,-0.08063007
1981-11,4,-0.6524315,-0.3368223
1981-12,4,-0.2755283,-0.45852807
1982-01,4,-0.14874575,-0.17327565
1982-02,4,0.19639266,-0.15476483
1982-03,4,-0.029737253,-0.28201815
1982-04,4,0.28734204,-0.04459077
1982-05,4,0.27895734,0.24024753
1982-06,4,0.5060988,0.5561064
1982-07,4,0.34633017,0.7505231
1982-08,4,0.9943167,1.1114337
1982-09,4,1.1730369,1.3501524
1982-10,4,1.2669657,1.8502227
1982-11,4,1.2213255,1.995122
1982-12,4,1.3566667,2.20444
1983-01,4,1.3058746,2.1862085
1983-02,4,1.2026064,1.692382
1983-03,4,0.68775696,1.2534121
1983-04,4,0.23285092,1.2862107
1983-05,4,0.17638652,1.13389
1983-06,4,-0.0368694,0.5883717
1983-07,4,-0.4022029,-0.50766957
1983-08,4,-0.94176626,-0.3339269
1983-09,4,-0.72773534,-0.5024317
1983-10,4,-0.32949296,-0.87823313
1983-11,4,-0.9227906,-0.88178056
1983-12,4,-0.659379,-1.1554062
1984-01,4,-1.0525426,-1.0308758
1984-02,4,-1.0647819,-0.61426705
1984-03,4,-0.70573103,-0.60810256
1984-04,4,-0.614425,-0.6248701
1984-05,4,-0.52550066,-0.7015953
1984-06,4,-0.35490602,-1.1367972
1984-07,4,-0.5827364,-0.7372547
1984-08,4,-0.94440466,-0.58925474
1984-09,4,-0.9383534,-0.54718137
1984-10,4,-0.9740157,-0.8979495
1984-11,4,-0.9121395,-1.2130367
1984-12,4,-0.80717105,-1.1400332
1985-01,4,-0.44276974,-1.0661303
1985-02,4,-0.47328985,-1.3416966
1985-03,4,-0.36072382,-1.2367989
1985-04,4,-0.34043756,-1.0220283
1985-05,4,-0.6131907,-0.78969556
1985-06,4,-0.89259017,-0.6494106
1985-07,4,-0.74354297,-0.7084457
1985-08,4,-0.30190292,-0.38509634
1985-09,4,-0.34421962,-0.34076357
1985-10,4,0.13078982,-0.4675236
1985-11,4,-0.26399523,-0.24995315
1985-12,4,-0.42526206,-0.18377769
1986-01,4,-0.35204744,-0.38154462
1986-02,4,-0.0023890284,-0.59403086
1986-03,4,0.08581963,-0.747484
1986-04,4,0.24835803,-0.80665785
1986-05,4,0.09183799,-0.43311933
1986-06,4,0.35967106,-0.23104097
1986-07,4,0.30861863,-0.05799706
1986-08,4,0.23917754,0.20899104
1986-09,4,0.45231643,0.49697357
1986-10,4,0.29649782,0.7040022
1986-11,4,0.5061051,0.8770689
1986-12,4,0.56005955,1.1841037
1987-01,4,0.68957925,1.3761859
1987-02,4,0.7283634,1.1995224
1987-03,4,0.65424323,1.1573845
1987-04,4,0.5971017,0.9323075
1987-05,4,0.36844018,1.0341035
1987-06,4,0.27485925,1.2854264
1987-07,4,0.160658,1.341871
1987-08,4,-0.15953419,1.4317333
1987-09,4,0.4595833,1.4311937
1987-10,4,1.1903268,1.3177104
1987-11,4,1.1394544,1.2714775
1987-12,4,0.6889315,0.9478049
1988-01,4,0.9721007,0.5536789
1988-02,4,0.5698454,0.16587622
1988-03,4,0.3593388,-0.124936506
1988-04,4,0.17682035,-0.6777575
1988-05,4,0.0009792635,-1.2987353
1988-06,4,-0.65887386,-1.5988959
1988-07,4,-0.9092367,-1.5172472
1988-08,4,-1.1218406,-1.2127922
1988-09,4,-1.5335386,-1.202088
1988-10,4,-1.7047368,-2.1091688
1988-11,4,-1.7010343,-2.463643
1988-12,4,-1.6893976,-2.1580613
